"CRN","TRAILER_PARTIAL_VIN","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","TRL_VEH_TYPE_CD","UNIT_NUM"
"2023044268","1JJV532D6H","1","ME","2654308","2017","6","2"
"2023044268","1GR1P062XN","1","SC","159790T","2022","6","1"
"2023042486","9999999999","1","FL","QA51DB","","7","2"
"2023090295","5WKBE2023F","1","PA","XMJ0618","2025","3","2"
"2023046309","9999999999","1","","","","9","2"
"2023115714","1S92A35397","1","PA","PT106B9","2024","7","3"
"2023042403","4CD670D12N","1","PA","XNF2821","2026","5","1"
"2024000193","1GRAA06276","1","PA","PT04D2","2099","7","1"
"2023017319","1GRAA8024K","1","MD","212972","2024","7","1"
"2023012857","9999999999","1","PA","PT6601Z","9999","7","1"
"2023044267","5V8VA53219","1","ME","3224822","2032","7","2"
"2023085271","54GVC14D9L","1","PA","XML9809","2024","6","2"
"2023098260","9999999999","1","ZZ","UNKNOWN","9999","9","2"
"2023024855","527SR5326N","1","IL","876484ST","2023","6","1"
"2023117866","4X4CFM414B","1","PA","XMW8334","2026","5","2"
"2023026617","1TTF482AXK","1","MS","121944A","2023","7","2"
"2024010821","1GRAP0624D","1","ME","3240250","2030","7","1"
"2023105884","1JJV532D0F","1","TN","126956T","2023","7","2"
"2023033426","1UYVS2530J","1","IL","909577ST","2022","6","1"
"2023026602","5JPBU2127C","1","ME","5036377","2022","8","2"
"2023028049","1UYVS2533E","1","PA","PT693H5","2023","6","1"
"2023028051","013","1","ZZ","0000","2023","8","2"
"2023013948","4DEUS3234W","1","NC","BV33982","2018","7","1"
"2023061141","4YMBU1019L","1","PA","XPD3350","2028","6","2"
"2024007914","1JJV532D5L","1","TN","047108T","2099","6","2"
"2024007914","5V8VC5327L","1","MS","134498A","2024","7","3"
"2023086754","1GRAA0623K","1","PA","PT098E4","2024","7","1"
"2023062456","4CP641F15R","1","PA","XDK5437","2023","5","1"
"2023087327","9999999999","1","TN","000000000000","","6","1"
"2023098129","1UYVS2536R","1","IL","941551ST","2023","6","1"
"2023012432","3H3V532C7L","1","IN","P737274","2023","7","1"
"2023093559","3H3V532C0E","1","TN","U478655","2099","7","1"
"2023083754","1E1F9R383N","1","WV","C418759","2023","7","2"
"2023100688","16VCX1625G","1","PA","XMA3311","2026","3","2"
"2023026617","52LBE1226D","1","PA","XGV1538","2023","3","1"
"2023117866","10BAB62SX4","1","ME","C114125","2024","7","1"
"2023013932","1HLA3A7B7S","1","PA","PT7236G","2023","7","2"
"2023085389","1E9DE20252","1","PA","XW86588","2023","3","1"
"2023051583","9999999999","1","PA","XNM3471","2026","6","2"
"2023083658","9699999999","1","ZZ","UNKNOWN","","7","1"
"2023052695","1P9CD3825J","1","TX","106C625","2024","7","3"
"2023053092","1UYVS2531L","1","NJ","TWM75E","2023","7","3"
"2023060865","1UYVS2535J","1","PA","XKK0686","2024","7","2"
"2023053092","1GR1A9626L","1","TN","U943729","2023","7","2"
"2023078071","1MDKNKK156","1","PA","XPF7641","2028","3","1"
"2023075262","9999999999","1","ZZ","AAAAAA","2024","7","1"
"2023111510","1JJV532W68","1","OK","3237GY","2023","7","1"
"2023009049","550FH2824J","1","PA","PT484E5","2023","3","1"
"2023051166","1E1H5Y28X7","1","NC","CM96124","2024","7","1"
"2023106046","RN626377","1","IL","28TLR55946","2023","7","2"
"2023051970","9999999999","1","ME","999999","2023","7","1"
"2023070251","15XFW53297","1","FL","BZ95AK","2007","3","1"
"2023062852","1LH440UH6G","1","PA","PT182B2","2016","7","1"
"2023086201","9999999999","1","ZZ","999999999999","","7","2"
"2023052886","3H3V532C6G","1","MI","D397703","2023","6","1"
"2023002090","9999999999","1","PA","999999","2023","2","3"
"2023039599","5LVBU12158","1","PA","XHY5534","2024","3","1"
"2023066063","4YMBU0811L","1","PA","XMH9074","2023","3","2"
"2023013608","9999999999","1","IN","P722062","","7","2"
"2023050215","1GRAA9623C","1","OH","TTD1454","2023","7","2"
"2023103861","84543762","1","PA","XNV9109","2028","6","1"
"2023009893","4J8T04328J","1","IN","P549924","2023","7","3"
"2023113446","1GRAA9222G","1","PA","PT528A8","2024","7","1"
"2023113467","1GR1P062XN","1","IL","PB16907","2024","7","1"
"2023077255","1GR1P0621N","1","IN","PA17823","2023","7","1"
"2024002161","3C6LRVDG2M","1","PA","ZSF4485","2024","1","2"
"2023079379","1GRAA9622H","1","PA","PT965A7","2023","7","2"
"2023111510","5HTSA4422K","1","PA","PT831F3","2023","7","2"
"2023111576","1UYVS2532L","1","ON","X5210V","2031","7","1"
"2023014244","55MTBR27MK","1","WV","C410816","0001","7","2"
"2023020486","1DW1A5320P","1","IL","901553ST","2023","7","1"
"2023043846","15XFE473X4","1","PA","XML3323","2024","6","1"
"2023015786","9999999999","1","TX","133C649","2023","6","1"
"2023092433","9999999999","1","PA","XNN7048","","3","1"
"2024009121","3H3V482K3R","1","OK","CU9902","2023","7","2"
"2023031966","43YDC2223E","1","PA","XMP5754","2014","6","2"
"2023013419","1GR1A0628P","1","ME","5065821","2023","7","1"
"2023031967","9699999999","1","ZZ","999999999999","","7","2"
"2023030559","UNKNOWN","1","WV","UNKNOWN","2023","3","2"
"2023077099","5V8VC5320H","1","NE","289589","2023","7","1"
"2023082134","1GRAA561XJ","1","IN","P676859","2024","7","1"
"2023082134","3H3V281C4E","2","IN","P387116","2024","7","1"
"2023068397","5DYACC1J7K","1","SC","52875PT","2019","3","2"
"2023058882","9999999999","1","ZZ","999999999999","","7","2"
"2023041270","1UYVS2533J","1","ME","274640D","2027","6","2"
